# _tick,_time,frames,total_loss,frames,mean_episode_return,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_control_rewards,mean_count_rewards,forward_dynamics_loss,inverse_dynamics_loss
325,1645382766.13214,1040000,32.2513732910156,1040000,0,-1.20444619655609,0.013480379246175,-0.091450251638889,0,0.000741476775147,0.000741476775147,0.011486849747598,0.526138067245483,15.1370134353638,18.3967761993408
326,1645382788.13709,1043200,43.3509902954102,1043200,0,0.990760087966919,0.010085178539157,-0.091259680688381,0,0.000971509667579,0.000971509667579,0.014226990751922,0.557711482048035,24.3992118835449,18.0421943664551
327,1645382810.45461,1046400,33.2601852416992,1046400,0,-0.946280717849731,0.010032122023404,-0.09114508330822,0,0.000731443520635,0.000731443520635,0.011901879683137,0.519116580486298,15.8665523529053,18.4210262298584
328,1645382832.46623,1049600,43.2669296264649,1049600,0,0.958091855049133,0.017998000606895,-0.090695142745972,0,0.00089195772307,0.00089195772307,0.013811665587127,0.539388954639435,24.0576972961426,18.3238353729248
329,1645382853.94645,1052800,37.0654449462891,1052800,0,-0.304152548313141,0.01981551386416,-0.089312419295311,0,0.000988542102277,0.000988542102277,0.015040202997625,0.550814867019653,19.1397953033447,18.2993011474609
330,1645382874.24772,1056000,43.703369140625,1056000,0,0.541584312915802,0.022576745599508,-0.08964017778635,0,0.000977328163572,0.000977328163572,0.015351667068899,0.535701990127564,25.0251846313477,18.2036609649658
331,1645382895.69105,1059200,35.1261596679687,1059200,0,-1.2675586938858,0.023359209299088,-0.089685432612896,0,0.000905151653569,0.000905151653569,0.014880735427141,0.525583386421204,18.4483184814453,18.0117282867432
332,1645382917.28848,1062400,42.4002456665039,1062400,0,0.697536170482636,0.011261167936027,-0.090774707496166,0,0.000821535941213,0.000821535941213,0.012828204780817,0.534485876560211,23.4015827178955,18.3806400299072
333,1645382938.78296,1065600,34.4872627258301,1065600,0,-0.034721702337265,0.011394590139389,-0.090327724814415,0,0.000827927724458,0.000827927724458,0.013099271804094,0.537075638771057,16.51487159729,18.0860462188721
334,1645382960.44626,1068800,45.5552482604981,1068800,0,1.08395767211914,0.020539088174701,-0.087663158774376,0,0.001082450500689,0.001082450500689,0.017362987622619,0.544647991657257,26.6107006072998,17.927713394165
335,1645382981.94903,1072000,35.6633453369141,1072000,0,-0.813398778438568,0.023101614788175,-0.0881687104702,0,0.000942531391047,0.000942531391047,0.014728736132383,0.537790954113007,18.4583148956299,18.0834941864014
336,1645383004.31916,1075200,45.4146194458008,1075200,0,1.13915121555328,0.009930403903127,-0.084933549165726,0,0.001125835697167,0.001125835697167,0.018209824338555,0.547810614109039,26.834867477417,17.5156059265137
337,1645383026.96771,1078400,32.3377838134766,1078400,0,-2.00882816314697,0.030868159607053,-0.087128505110741,0,0.000884430657607,0.000884430657607,0.013934211805463,0.536787927150726,16.8143329620361,17.5885410308838
338,1645383048.68749,1081600,45.2333488464356,1081600,0,2.83802938461304,0.029583910480142,-0.086197249591351,0,0.001019885647111,0.001019885647111,0.015918381512165,0.551963746547699,24.8363761901855,17.6155567169189
339,1645383070.52802,1084800,35.8106575012207,1084800,0,-2.26117539405823,0.06191148981452,-0.086479872465134,0,0.001173532917164,0.001173532917164,0.018595512956381,0.563137412071228,20.9089298248291,17.1874713897705
340,1645383090.85007,1088000,44.0685119628906,1088000,0,1.29523277282715,0.011753046885133,-0.090108029544354,0,0.001125156879425,0.001125156879425,0.016587767750025,0.566763162612915,25.2473220825195,17.6043109893799
341,1645383112.11292,1091200,33.7250671386719,1091200,0,-1.44469547271729,0.025559173896909,-0.09104148298502,0,0.00080370856449,0.00080370856449,0.012643485330045,0.517651259899139,16.8984222412109,18.3368225097656
342,1645383134.06491,1094400,45.5445327758789,1094400,0,1.01030194759369,0.018010737374425,-0.090333387255669,0,0.001052471227013,0.001052471227013,0.016495252028108,0.539955914020538,26.5056495666504,18.1009044647217
343,1645383155.7898,1097600,35.4228401184082,1097600,0,-1.10301005840302,0.023597974330187,-0.091123767197132,0,0.000920245482121,0.000920245482121,0.014181821607053,0.541179478168487,18.3032245635986,18.2901515960693
344,1645383176.95352,1100800,39.9004402160645,1100800,0,-0.368794292211533,0.008560827933252,-0.0915851816535,0,0.000652903458104,0.000652903458104,0.0114123551175,0.494992673397064,21.770133972168,18.582124710083
345,1645383198.47481,1104000,32.8679695129395,1104000,0,-0.284915328025818,0.006547729484737,-0.091566935181618,0,0.000622128194664,0.000622128194664,0.010305413976312,0.502459824085236,14.6419448852539,18.5959587097168
346,1645383219.40451,1107200,42.3407363891602,1107200,0,1.29029965400696,0.015477036125958,-0.090488366782665,0,0.000852930766996,0.000852930766996,0.013907929882407,0.528346061706543,23.0160598754883,18.1093864440918
347,1645383240.24316,1110400,34.949104309082,1110400,0,-0.312404960393906,0.018914591521025,-0.090667717158794,0,0.000855923746713,0.000855923746713,0.013012791983783,0.537195920944214,16.9239253997803,18.4093341827393
348,1645383262.26684,1113600,41.8571929931641,1113600,0,0.225261509418488,0.016560235992074,-0.090191811323166,0,0.000851157179568,0.000851157179568,0.01361446455121,0.534175336360931,23.3500900268555,18.3554744720459
349,1645383283.97226,1116800,34.1761703491211,1116800,0,-0.421088010072708,0.015577051788569,-0.090958125889301,0,0.000797806540504,0.000797806540504,0.01251017767936,0.541580855846405,16.3635787963867,18.3090591430664
350,1645383306.78398,1120000,39.6385040283203,1120000,0,0.077569097280502,0.008645518682897,-0.090143509209156,0,0.000739715236705,0.000739715236705,0.011699023656547,0.509421288967133,21.3089332580566,18.3334999084473
351,1645383328.54048,1123200,36.5893249511719,1123200,0,0.671728670597076,0.02112084440887,-0.088852144777775,0,0.000920303922612,0.000920303922612,0.014596936292946,0.539644420146942,18.0257625579834,17.9595623016357
352,1645383351.00679,1126400,37.3039970397949,1126400,0,-1.62700235843658,0.016351455822587,-0.089443124830723,0,0.000722878845409,0.000722878845409,0.012523858807981,0.506154477596283,21.1191463470459,17.8849449157715
353,1645383372.56218,1129600,33.3983726501465,1129600,0,0.704439401626587,0.010651061311364,-0.090479977428913,0,0.000680100463796,0.000680100463796,0.011071399785578,0.51388543844223,14.6337270736694,18.1400356292725
354,1645383394.39073,1132800,40.7392120361328,1132800,0,0.236081898212433,0.019118670374155,-0.089073106646538,0,0.000893734686542,0.000893734686542,0.014249694533646,0.533147633075714,22.5829582214355,17.9901256561279
355,1645383415.9588,1136000,34.9042587280273,1136000,0,-0.008351726457477,0.017736030742526,-0.089325912296772,0,0.000834952574223,0.000834952574223,0.013620645739138,0.527379274368286,17.0181350708008,17.9660625457764
