# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_control_rewards,mean_count_rewards,forward_dynamics_loss,inverse_dynamics_loss,adversarial_loss,batch_action_variance
56,1654127809.24966,89600,26.9629173278809,0.018353657796979,-0.743240654468536,0.039536368101835,-0.04767432808876,0.000470312486868,0.000518071639817,0.00098838401027,0.012739706784487,0.237499997019768,15.5522356033325,9.53859615325928,2.6234655380249,3.125
57,1654127811.99188,91200,27.7094459533691,0.025119049474597,0.328786104917526,0.044827867299318,-0.047759711742401,0.000659375044052,0.000523544324096,0.001182919368148,0.012266458012164,0.241874992847443,15.1126718521118,9.60574817657471,2.66517281532288,4.2021484375
58,1654127815.07279,92800,28.1770172119141,0.018500000238419,-0.52284449338913,0.020674070343375,-0.047440517693758,0.00046250000014,0.000529545184691,0.000992045155726,0.013276297599077,0.233125001192093,16.4915676116943,9.62284564971924,2.61221432685852,3.2099609375
59,1654127817.85845,94400,27.6525192260742,0.014000000432134,0.619294703006744,0.029314978048205,-0.047546453773975,0.00034999998752,0.000426738261012,0.000776738277636,0.011721083894372,0.215625002980232,14.8987102508545,9.60204601287842,2.55070090293884,2.33984375
60,1654127820.94218,96000,28.1012191772461,0.031768292188645,-0.073605298995972,0.057696107774973,-0.047565959393978,0.000814062485006,0.000578981591389,0.001393044018187,0.013980052433908,0.248750001192093,15.8497428894043,9.61553859710693,2.69941234588623,2.9990234375
61,1654127823.92796,97600,27.238468170166,0.037916667759419,0.117581129074097,0.035951275378466,-0.047527134418488,0.000995312468149,0.000495420419611,0.001490733004175,0.012693439610303,0.238124996423721,14.9943504333496,9.52925205230713,2.60886096954346,2.0458984375
62,1654127826.67555,99200,27.9746875762939,0.042682927101851,0.800614833831787,0.08341034501791,-0.047325126826763,0.001093750004657,0.000539926229976,0.001633676234633,0.011951571330428,0.239374995231628,15.1061153411865,9.47245311737061,2.55941987037659,4.5
63,1654127829.57332,100800,26.0136489868164,0.025426829233766,-1.54794669151306,0.025953372940421,-0.047026686370373,0.000651562528219,0.000531387689989,0.001182950334623,0.013004172593355,0.267500013113022,15.2216157913208,9.52956676483154,2.83148646354675,2.0146484375
64,1654127833.01708,102400,28.3550586700439,0.058809518814087,1.70737552642822,0.129109412431717,-0.047149404883385,0.001543750055134,0.000559428997803,0.00210317899473,0.012712660245597,0.266874998807907,14.3313446044922,9.45132732391357,2.78305244445801,3.125
65,1654127836.08153,104000,25.8086109161377,0.040059521794319,-1.52636933326721,0.056972734630108,-0.047098949551582,0.00105156248901,0.000556346960366,0.001607909449376,0.012195081450045,0.254375010728836,15.1449193954468,9.46071815490723,2.71946930885315,3.2177734375
